course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Site Reliability Engineering: Measuring and Managing Reliability,4.5,https://www.coursera.org/learn/site-reliability-engineering-slos,[],"['Technical Solutions Engineers', 'System Administrators', 'IT Managers', 'Technical Leads', 'Systems Engineers']"
Course,Medical Neuroscience,4.9,https://www.coursera.org/learn/medical-neuroscience,"['Brain', 'Neurological Disorders', 'Neurobiology', 'Neurology']","['Medical Doctors', 'Psychiatrists', 'Paramedics', 'Therapists', 'Psychologists']"
Course,Preparing for the Google Cloud Professional Cloud Architect Exam,4.5,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,[],"['Technical Solutions Engineers', 'Technical Leads', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Consultants', 'Technical Solutions Engineers', 'Technical Leads', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Consultants']"
Course,Introduction to Self-Driving Cars,4.8,https://www.coursera.org/learn/intro-self-driving-cars,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.8,https://www.coursera.org/learn/advanced-valuation-and-strategy,[],"['Chief Financial Officers (CFOs)', 'Financial Analysts', 'Financial Advisors', 'Risk Managers', 'Economists']"
Course,Probabilistic Graphical Models 1: Representation,4.7,https://www.coursera.org/learn/probabilistic-graphical-models,"['Bayesian Network', 'Graphical Model', 'Markov Random Field']","['Machine Learning Engineers', 'Data Scientists', 'Biostatisticians', 'Research Assistants', 'Researchers']"
Course,Introduction to Deep Learning,4.6,https://www.coursera.org/learn/intro-to-deep-learning,"['Recurrent Neural Network', 'Tensorflow', 'Convolutional Neural Network', 'Deep Learning']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Preparing for the Google Cloud Professional Data Engineer Exam,4.7,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,[],"['Data Engineers', 'Technical Solutions Engineers', 'Data Scientists', 'Chief Technology Officers (CTOs)', 'Technical Leads', 'Data Engineers', 'Technical Solutions Engineers', 'Data Scientists', 'Chief Technology Officers (CTOs)', 'Technical Leads']"
Course,How to Win a Data Science Competition: Learn from Top Kagglers,4.7,https://www.coursera.org/learn/competitive-data-science,"['Data Analysis', 'Feature Extraction', 'Feature Engineering', 'Xgboost']","['Data Scientists', 'Machine Learning Engineers', 'Data Analysts', 'Data Engineers', 'Biostatisticians']"
Course,Advanced Machine Learning and Signal Processing,4.5,https://www.coursera.org/learn/advanced-machine-learning-signal-processing,[],"['Data Scientists', 'Machine Learning Engineers', 'Traders', 'Data Analysts', 'Researchers', 'Data Scientists', 'Machine Learning Engineers', 'Traders', 'Data Analysts', 'Researchers']"
Course,State Estimation and Localization for Self-Driving Cars,4.6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,[],"['Machine Learning Engineers', 'Data Scientists', 'Engineers', 'Researchers', 'Software Engineers']"
