course_type,course_title,course_rating,course_link,course_skill,course_job
Course,AI For Everyone,4.8,https://www.coursera.org/learn/ai-for-everyone,"['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']","['Product Managers', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Technical Solutions Engineers']"
Course,SQL for Data Science,4.6,https://www.coursera.org/learn/sql-for-data-science,"['Data Science', 'Data Analysis', 'Sqlite', 'SQL']","['Data Analysts', 'Business Analysts', 'Risk Managers', 'Marketing Analysts', 'Data Scientists']"
Course,Project Launch,4.7,https://www.coursera.org/learn/project-management,"['Project Management', 'Scope (Project Management)', 'Communication', 'Work Breakdown Structure']","['Project Managers', 'Product Managers', 'Consultants', 'Sales Associates', 'Researchers', 'Project Managers', 'Product Managers', 'Consultants', 'Sales Associates', 'Researchers']"
Course,Digital Transformation,4.8,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,"['Technology Disruption', 'Digital Trends', 'Competitive Lifecycle', 'Digital Strategy', 'Strategic Management']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Technical Support Fundamentals,4.8,https://www.coursera.org/learn/technical-support-fundamentals,"['Binary Code', 'Customer Support', 'Linux', 'Troubleshooting']","['Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support', 'Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support']"
Course,Financial Markets,4.8,https://www.coursera.org/learn/financial-markets-global,"['Behavioral Finance', 'Financial Markets', 'Finance', 'Behavioral Economics']","['Financial Advisors', 'Auditors', 'Financial Analysts', 'Risk Managers', 'Traders']"
Course,What is Data Science?,4.7,https://www.coursera.org/learn/what-is-datascience,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Digital Product Management: Modern Fundamentals,4.7,https://www.coursera.org/learn/uva-darden-digital-product-management,"['Product/Market Fit', 'Product Management', 'Design Thinking', 'Innovation Pipeline', 'Lean Startup']","['Product Managers', 'Business Analysts', 'UI/UX Designers', 'User Experience Researchers', 'Program Managers', 'Product Managers', 'Business Analysts', 'UI/UX Designers', 'User Experience Researchers', 'Program Managers']"
Course,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.9,https://www.coursera.org/learn/deep-neural-network,"['Hyperparameter', 'Tensorflow', 'Hyperparameter Optimization', 'Deep Learning']","['Data Scientists', 'Machine Learning Engineers', 'Biostatisticians', 'Scientists', 'Researchers', 'Data Scientists', 'Machine Learning Engineers', 'Biostatisticians', 'Scientists', 'Researchers']"
Course,Design Thinking for Innovation,4.6,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,"['Strategic Thinking', 'Design Thinking', 'Innovation Management', 'Design Management', 'Innovation']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Introduction to Psychology,4.9,https://www.coursera.org/learn/introduction-psychology,"['reasoning', 'Problem Solving', 'abstract thinking', 'analytical thinking', 'Critical Thinking']","['Psychiatrists', 'Translators', 'HR Specialists', 'Social Workers', 'Writers', 'Psychiatrists', 'Translators', 'HR Specialists', 'Social Workers', 'Writers']"
Course,Mathematics for Machine Learning: Linear Algebra,4.7,https://www.coursera.org/learn/linear-algebra-machine-learning,"['Eigenvalues And Eigenvectors', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Algebra']","['Machine Learning Engineers', 'Data Scientists', 'Biostatisticians', 'Data Analysts', 'Software Engineers', 'Machine Learning Engineers', 'Data Scientists', 'Biostatisticians', 'Data Analysts', 'Software Engineers']"
Course,Project Practicum with Multiple Projects,4.7,https://www.coursera.org/learn/project-practicum-with-multiple-projects,[],"['Project Managers', 'Business Analysts', 'Engineers', 'Software Engineers']"
Course,Computational Thinking for Problem Solving,4.7,https://www.coursera.org/learn/computational-thinking-problem-solving,"['Simple Algorithm', 'Python Programming', 'Problem Solving', 'Computation']","['Technical Writers', 'Auditors', 'Marketing Analysts', 'Traders', 'Financial Analysts']"
Course,Financial Accounting Fundamentals,4.8,https://www.coursera.org/learn/uva-darden-financial-accounting,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']","['Accountants', 'Chief Financial Officers (CFOs)', 'Controllers', 'Auditors', 'Financial Analysts']"
Course,Project Execution,4.2,https://www.coursera.org/learn/project-execution,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Project Planning,4.7,https://www.coursera.org/learn/project-planning-1,[],"['Project Managers', 'Consultants', 'Administrators', 'Managers', 'Engineers', 'Project Managers', 'Consultants', 'Administrators', 'Managers', 'Engineers']"
Course,AWS Fundamentals: Going Cloud-Native,4.7,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,"['Cloud Computing Security', 'AWS cloud', 'Cloud Storage', 'cloud networking', 'Cloud Computing']","['System Administrators', 'Security Engineers', 'IT Managers', 'Technical Leads', 'Technical Solutions Engineers']"
Course,Writing in the Sciences,4.9,https://www.coursera.org/learn/sciwrite,"['Grammar', 'Medical Writing', 'Science Communication', 'Writing']","['Pharmacists', 'Biologists', 'Medical Doctors', 'Scientists', 'Nurses']"
Course,Excel Skills for Business: Essentials,4.9,https://www.coursera.org/learn/excel-essentials,"['Graphs', 'Microsoft Excel', 'Chart', 'Sorting']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Open Source tools for Data Science,4.6,https://www.coursera.org/learn/open-source-tools-for-data-science,[],"['Data Analysts', 'Risk Managers', 'Process Analysts', 'Business Analysts', 'Data Scientists']"
Course,Python for Data Science and AI,4.6,https://www.coursera.org/learn/python-for-applied-data-science-ai,"['Data Science', 'Python Programming', 'Numpy', 'Pandas']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Stanford Introduction to Food and Health,4.7,https://www.coursera.org/learn/food-and-health,"['Health Informatics', 'Nutrition', 'Food Safety', 'Food Science']","['Nutritionists', 'Pharmacists', 'Chefs', 'Medical Doctors', 'Psychiatrists', 'Nutritionists', 'Pharmacists', 'Chefs', 'Medical Doctors', 'Psychiatrists']"
Course,Structuring Machine Learning Projects,4.8,https://www.coursera.org/learn/machine-learning-projects,"['Machine Learning', 'Deep Learning', 'Inductive Transfer', 'Multi-Task Learning']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,The Bits and Bytes of Computer Networking,4.7,https://www.coursera.org/learn/computer-networking,"['Domain Name System (DNS)', 'Ipv4', 'Network Model', 'Troubleshooting']","['Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support', 'Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support']"
Course,Science of Exercise,4.8,https://www.coursera.org/learn/science-exercise,"['Training', 'Nutrition', 'Fitness And Nutrition', 'Public Health']","['Nutritionists', 'Medical Doctors', 'Therapists', 'Paramedics', 'Pharmacists']"
Course,Game Theory,4.6,https://www.coursera.org/learn/game-theory-1,"['Game Theory', 'Backward Induction', 'Bayesian Game', 'Problem Solving']","['Economists', 'Traders', 'Data Scientists', 'Machine Learning Engineers', 'Chief Financial Officers (CFOs)']"
Course,Data Science Methodology,4.6,https://www.coursera.org/learn/data-science-methodology,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Finance for Non-Finance Professionals,4.8,https://www.coursera.org/learn/finance-for-non-finance,"['Financial Accounting', 'Capital Budgeting', 'Corporate Finance', 'Finance']","['Copywriters', 'User Experience Researchers', 'Risk Managers', 'Chemists', 'Business Developers']"
Course,Learning to Teach Online,4.7,https://www.coursera.org/learn/teach-online,"['Teaching', 'Online Learning', 'Evaluation', 'Planning']","['Instructional Designers', 'Teachers', 'Professors', 'Technical Writers', 'Translators']"
Course,Databases and SQL for Data Science,4.7,https://www.coursera.org/learn/sql-data-science,"['Cloud Databases', 'Python Programming', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']","['Data Analysts', 'Geologists', 'Data Scientists', 'Process Analysts', 'Risk Managers']"
Course,Introduction to Programming with MATLAB,4.8,https://www.coursera.org/learn/matlab,"['Computer Programming', 'Problem Solving', 'Matlab', 'Programming Language']","['Researchers', 'Scientists', 'Machine Learning Engineers', 'Research Assistants', 'Engineers']"
