course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Neural Networks and Deep Learning,4.9,https://www.coursera.org/learn/neural-networks-deep-learning,"['Artificial Neural Network', 'Backpropagation', 'Python Programming', 'Deep Learning']","['Data Scientists', 'Machine Learning Engineers', 'Biostatisticians', 'Researchers', 'Data Engineers']"
Course,Google Cloud Platform Fundamentals: Core Infrastructure,4.7,https://www.coursera.org/learn/gcp-fundamentals,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing']","['Technical Solutions Engineers', 'Security Engineers', 'Technical Leads', 'Data Engineers', 'Systems Engineers']"
Course,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,https://www.coursera.org/learn/introduction-tensorflow,"['Computer Vision', 'Tensorflow', 'Machine Learning']","['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Biostatisticians', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Biostatisticians']"
Course,Introduction to Data Science in Python,4.5,https://www.coursera.org/learn/python-data-analysis,"['Python Programming', 'Numpy', 'Pandas', 'Data Cleansing']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Convolutional Neural Networks,4.9,https://www.coursera.org/learn/convolutional-neural-networks,"['Facial Recognition System', 'Tensorflow', 'Convolutional Neural Network', 'Artificial Neural Network']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Getting Started with Google Kubernetes Engine,4.6,https://www.coursera.org/learn/google-kubernetes-engine,"['Continuous Delivery', 'Kubernetes', 'Google Cloud Platform', 'Jenkins (Software)']","['Technical Leads', 'Technical Solutions Engineers', 'System Administrators', 'Data Engineers', 'Software Engineers', 'Technical Leads', 'Technical Solutions Engineers', 'System Administrators', 'Data Engineers', 'Software Engineers']"
Course,Fundamentals of Reinforcement Learning,4.8,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,"['Artificial Intelligence (AI)', 'Machine Learning', 'Reinforcement Learning', 'Function Approximation', 'Intelligent Systems']","['Data Scientists', 'Machine Learning Engineers', 'Scientists', 'Risk Managers', 'Researchers', 'Data Scientists', 'Machine Learning Engineers', 'Scientists', 'Risk Managers', 'Researchers']"
Course,Convolutional Neural Networks in TensorFlow,4.7,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,"['Inductive Transfer', 'Augmentation', 'Dropouts', 'Machine Learning', 'Tensorflow']","['Machine Learning Engineers', 'Data Scientists', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Biostatisticians', 'Machine Learning Engineers', 'Data Scientists', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Biostatisticians']"
Course,Natural Language Processing in TensorFlow,4.6,https://www.coursera.org/learn/natural-language-processing-tensorflow,"['Natural Language Processing', 'Tokenization', 'Machine Learning', 'Tensorflow', 'RNNs']","['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Scientists', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Scientists']"
Course,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.6,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,"['Tensorflow', 'Bigquery', 'Google Cloud Platform', 'Cloud Computing']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Sequence Models,4.8,https://www.coursera.org/learn/nlp-sequence-models,"['Recurrent Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Long Short-Term Memory (ISTM)']","['Data Scientists', 'Machine Learning Engineers', 'Scientists', 'Biostatisticians', 'Researchers']"
Course,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",4.8,https://www.coursera.org/learn/algorithms-divide-conquer,"['Algorithms', 'Randomized Algorithm', 'Sorting Algorithm', 'Divide And Conquer Algorithms']","['Machine Learning Engineers', 'Software Engineers', 'Data Scientists', 'Data Engineers', 'Technical Leads']"
Course,"Sequences, Time Series and Prediction",4.6,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,"['Forecasting', 'Machine Learning', 'Tensorflow', 'Time Series', 'prediction']","['Data Scientists', 'Machine Learning Engineers', 'Traders', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Data Scientists', 'Machine Learning Engineers', 'Traders', 'Chief Technology Officers (CTOs)', 'Data Engineers']"
Course,Object-Oriented Data Structures in C++,4.9,https://www.coursera.org/learn/cs-fundamentals-1,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Introduction to Applied Machine Learning,4.6,https://www.coursera.org/learn/machine-learning-applied,[],"['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Entrepreneurs', 'Product Managers']"
Course,Kotlin for Java Developers,4.7,https://www.coursera.org/learn/kotlin-for-java-developers,[],"['Software Engineers', 'Technical Leads', 'Data Engineers', 'Chief Technology Officers (CTOs)', 'System Administrators', 'Software Engineers', 'Technical Leads', 'Data Engineers', 'Chief Technology Officers (CTOs)', 'System Administrators']"
Course,R Programming,4.6,https://www.coursera.org/learn/r-programming,"['Data Analysis', 'Debugging', 'R Programming', 'Rstudio']","['Biostatisticians', 'Scientists', 'Data Analysts', 'Researchers', 'Economists']"
Course,Machine Learning for Business Professionals,4.6,https://www.coursera.org/learn/machine-learning-business-professionals,[],"['Product Managers', 'Technical Leads', 'Instructional Designers', 'Managing Partners', 'Business Analysts', 'Product Managers', 'Technical Leads', 'Instructional Designers', 'Managing Partners', 'Business Analysts']"
Course,Essential Cloud Infrastructure: Foundation,4.7,https://www.coursera.org/learn/gcp-infrastructure-foundation,"['Google Compute Engine', 'Virtual Machine', 'Network Architecture', 'Google Cloud Platform']","['Technical Solutions Engineers', 'Technical Leads', 'Systems Engineers', 'Security Engineers', 'Chief Technology Officers (CTOs)']"
Course,Excel Skills for Business: Intermediate I,4.9,https://www.coursera.org/learn/excel-intermediate-1,"['Concatenation', 'Microsoft Excel', 'Consolization', 'Pivot Table', 'Pivot Chart']","['Economists', 'Auditors', 'Accountants', 'Financial Analysts', 'Customer Care Reps', 'Economists', 'Auditors', 'Accountants', 'Financial Analysts', 'Customer Care Reps']"
Course,Introduction to Calculus,4.8,https://www.coursera.org/learn/introduction-to-calculus,[],"['Tutors', 'Economists', 'Retailers', 'Biologists', 'Scientists']"
Course,Algorithmic Toolbox,4.7,https://www.coursera.org/learn/algorithmic-toolbox,"['Dynamic Programming', 'Debugging', 'Software Testing', 'Algorithms', 'Computer Programming']","['Machine Learning Engineers', 'Data Scientists', 'Software Engineers', 'Data Engineers', 'Systems Engineers']"
Course,Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,https://www.coursera.org/learn/google-cloud-java-spring,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Essentials in Clinical Simulations Across the Health Professions,4.7,https://www.coursera.org/learn/clinicalsimulations,"['Nursing', 'healthcare', 'Debriefing', 'INACSL Standards', 'Clinical Simulation']","['Nurses', 'Pharmacists', 'Medical Doctors', 'Professors', 'Teachers']"
Course,Networking and Security Architecture with VMware NSX,4.8,https://www.coursera.org/learn/networking-security-architecture-vmware-nsx,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Bayesian Statistics: From Concept to Data Analysis,4.6,https://www.coursera.org/learn/bayesian-statistics,"['Statistics', 'Bayesian Statistics', 'Bayesian Inference', 'R Programming']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Functional Programming Principles in Scala,4.8,https://www.coursera.org/learn/progfun1,"['Recursion', 'Scala Programming', 'Array Programming', 'Functional Programming']","['Data Engineers', 'Data Scientists', 'Software Engineers', 'Machine Learning Engineers', 'Technical Leads']"
