course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Machine Learning,4.9,https://www.coursera.org/learn/machine-learning,"['Logistic Regression', 'Artificial Neural Network', 'Machine Learning (ML) Algorithms', 'Machine Learning']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,The Science of Well-Being,4.9,https://www.coursera.org/learn/the-science-of-well-being,"['Gratitude', 'Happiness', 'Meditation', 'Savoring']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Programming for Everybody (Getting Started with Python),4.8,https://www.coursera.org/learn/python,"['Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Python Programming']","['Risk Managers', 'Data Analysts', 'Traders', 'Auditors', 'Financial Analysts', 'Risk Managers', 'Data Analysts', 'Traders', 'Auditors', 'Financial Analysts']"
Course,Python Data Structures,4.9,https://www.coursera.org/learn/python-data,"['Python Syntax And Semantics', 'Data Structure', 'Tuple', 'Python Programming']","['Traders', 'Risk Managers', 'Systems Engineers', 'Data Analysts', 'Geologists', 'Traders', 'Risk Managers', 'Systems Engineers', 'Data Analysts', 'Geologists']"
Course,Indigenous Canada,4.8,https://www.coursera.org/learn/indigenous-canada,"['Art History', 'Art', 'History', 'Mythology']","['Librarians', 'Program Coordinators', 'Social Workers', 'Nurses', 'Lawyers']"
Course,Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,https://www.coursera.org/learn/learning-how-to-learn,"['Test Preparation', 'Learning To Learn', 'Pomodoro Technique', 'Meta Learning']","['Psychiatrists', 'Pharmacists', 'Chief Financial Officers (CFOs)', 'Customer Care Reps', 'Translators']"
Course,Become a CBRS Certified Professional Installer by Google,5,https://www.coursera.org/learn/google-cbrs-cpi-training,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Successful Negotiation: Essential Strategies and Skills,4.7,https://www.coursera.org/learn/negotiation-skills,"['Strategic Negotiations', 'Communication', 'Negotiation', 'Decision Tree']","['Real Estate Brokers', 'Sales Associates', 'Account Managers', 'Lawyers', 'Pharmacists']"
Course,Using Python to Access Web Data,4.8,https://www.coursera.org/learn/python-network-data,"['Json', 'Xml', 'Python Programming', 'Web Scraping']","['Traders', 'Geologists', 'Data Analysts', 'Financial Analysts', 'Data Scientists']"
Course,Customer Analytics,4.5,https://www.coursera.org/learn/wharton-customer-analytics,"['Predictive Analytics', 'Customer Analytics', 'Regression Analysis', 'Marketing Performance Measurement And Management']","['Business Analysts', 'Marketing Specialists', 'Marketing Analysts', 'Customer Care Reps', 'Data Analysts']"
Course,Design and Interpretation of Clinical Trials,4.7,https://www.coursera.org/learn/clinical-trials,"['Clinical Research', 'Trial Design', 'Clinical Trial Design', 'Clinical Trial Management']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Private Equity and Venture Capital,4.8,https://www.coursera.org/learn/private-equity,"['Valuation (Finance)', 'Venture Capital', 'Venture Capital Financing', 'Private Equity']","['Chief Financial Officers (CFOs)', 'Financial Advisors', 'Financial Analysts', 'Auditors', 'Chief Operations Officers (COOs)', 'Chief Financial Officers (CFOs)', 'Financial Advisors', 'Financial Analysts', 'Auditors', 'Chief Operations Officers (COOs)']"
Course,Financial Engineering and Risk Management Part I,4.6,https://www.coursera.org/learn/financial-engineering-1,"['Pricing', 'Financial Modeling', 'Financial Risk', 'Financial Engineering']","['Risk Managers', 'Financial Analysts', 'Traders', 'Financial Advisors', 'Auditors', 'Risk Managers', 'Financial Analysts', 'Traders', 'Financial Advisors', 'Auditors']"
Course,Introduction to Marketing,4.7,https://www.coursera.org/learn/wharton-marketing,"['Positioning (Marketing)', 'Marketing', 'Marketing Strategy', 'Customer Satisfaction']","['Marketers', 'Marketing Specialists', 'Financial Advisors', 'Marketing Managers', 'Operations Analysts']"
Course,Cryptography I,4.8,https://www.coursera.org/learn/crypto,"['Cryptography', 'Cryptographic Attacks', 'Public-Key Cryptography', 'Symmetric-Key Algorithm']","['Security Engineers', 'Machine Learning Engineers', 'Software Engineers', 'Communication Technicians', 'Technical Support Associates']"
Course,Initiating and Planning Projects,4.7,https://www.coursera.org/learn/project-planning,"['Project Management', 'Project', 'Planning', 'Project Planning']","['Project Managers', 'Project Coordinators', 'Executive Assistants', 'Operations Analysts', 'Instructional Designers', 'Project Managers', 'Project Coordinators', 'Executive Assistants', 'Operations Analysts', 'Instructional Designers']"
Course,Psychological First Aid,4.8,https://www.coursera.org/learn/psychological-first-aid,"['Reflective Listening', 'Active Listening', 'Crisis Intervention', 'Psychological First Aid']","['Psychologists', 'Psychiatrists', 'Paramedics', 'Social Workers', 'Therapists']"
Course,Fundamentals of Quantitative Modeling,4.6,https://www.coursera.org/learn/wharton-quantitative-modeling,"['Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis']","['Financial Analysts', 'Chief Financial Officers (CFOs)', 'Risk Managers', 'Traders', 'Financial Advisors', 'Financial Analysts', 'Chief Financial Officers (CFOs)', 'Risk Managers', 'Traders', 'Financial Advisors']"
Course,Storytelling and influencing: Communicate with impact,4.9,https://www.coursera.org/learn/communicate-with-impact,[],"['Writers', 'Community Managers', 'Chief Financial Officers (CFOs)', 'Marketing Analysts', 'Entrepreneurs']"
Course,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,https://www.coursera.org/learn/build-a-computer,"['Logic Gate', 'Computer Architecture', 'Assembly Languages', 'Hardware Description Language (HDL)']","['Software Engineers', 'Systems Engineers', 'Traders', 'Security Engineers', 'Data Scientists']"
Course,The Data Scientist’s Toolbox,4.5,https://www.coursera.org/learn/data-scientists-tools,"['Data Science', 'Github', 'R Programming', 'Rstudio']","['Data Analysts', 'Scientists', 'Biostatisticians', 'Geologists', 'Economists']"
Course,Fundamentals of Engineering Exam Review,4.7,https://www.coursera.org/learn/fe-exam,[],"['Engineers', 'Technicians', 'Research Assistants', 'Project Managers', 'Technical Solutions Engineers']"
Course,Management of Fashion and Luxury Companies,4.7,https://www.coursera.org/learn/mafash,"['Strategic Management', 'Business Model', 'Luxury Goods', 'Brand Management']","['Marketing Specialists', 'Designers', 'Retailers', 'Creative Directors', 'Auditors']"
Course,Dog Emotion and Cognition,4.6,https://www.coursera.org/learn/dog-emotion-and-cognition,"['Cognitive Science', 'Evolution', 'Animal Behavior', 'Dog']","['Receptionists', 'Retailers', 'Therapists', 'Nurses', 'Artists', 'Receptionists', 'Retailers', 'Therapists', 'Nurses', 'Artists']"
Course,Autism Spectrum Disorder,4.6,https://www.coursera.org/learn/autism-spectrum-disorder,"['Education', 'Sensory Integration', 'Diagnostic Evaluation', 'Autism Spectrum Disorder (ASD)']","['Psychiatrists', 'Therapists', 'Psychologists', 'Social Workers', 'Paramedics', 'Psychiatrists', 'Therapists', 'Psychologists', 'Social Workers', 'Paramedics']"
Course,Write Professional Emails in English,4.7,https://www.coursera.org/learn/professional-emails-english,"['Professional', 'Email Writing', 'Communication', 'Writing']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Gamification,4.8,https://www.coursera.org/learn/gamification,"['Psychology', 'Marketing', 'Game Design', 'Gamification']","['Instructional Designers', 'User Experience Researchers', 'Designers', 'Psychiatrists', 'UI/UX Designers']"
Course,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.8,https://www.coursera.org/learn/negotiation,"['Game Theory', 'Negotiation', 'Collaboration', 'Principled Negotiation']","['Real Estate Brokers', 'Chief Financial Officers (CFOs)', 'Directors of Operations', 'Financial Advisors', 'Sales Associates']"
Course,Introduction to Financial Accounting,4.7,https://www.coursera.org/learn/wharton-accounting,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Introduction to Psychology,4.9,https://www.coursera.org/learn/introduction-psych,"['Psychological Issues', 'Psychology', 'Social Psychology', 'Mental Illness']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Using Databases with Python,4.8,https://www.coursera.org/learn/python-databases,"['Python Programming', 'Database (DBMS)', 'Sqlite', 'SQL']","['Traders', 'Data Analysts', 'Geologists', 'Risk Managers', 'Biostatisticians', 'Traders', 'Data Analysts', 'Geologists', 'Risk Managers', 'Biostatisticians']"
Course,Economics of Money and Banking,4.9,https://www.coursera.org/learn/money-banking,[],"['Economists', 'Traders', 'Financial Analysts', 'Controllers', 'Chief Financial Officers (CFOs)']"
Course,Viral Marketing and How to Craft Contagious Content,4.7,https://www.coursera.org/learn/wharton-contagious-viral-marketing,"['Social Network', 'Viral Marketing', 'Marketing', 'Marketing Strategy']","['Marketing Specialists', 'Marketing Managers', 'Marketers', 'Community Managers', 'Copywriters']"
Course,Animal Behaviour and Welfare,4.8,https://www.coursera.org/learn/animal-welfare,"['Animal', 'Animal Behavior', 'Veterinary', 'Dog']","['Paramedics', 'Receptionists', 'Biologists', 'Retailers', 'Artists']"
Course,Forensic Accounting and Fraud Examination,4.7,https://www.coursera.org/learn/forensic-accounting,"['Fraud Detection', 'Internal Control', 'Fraud Investigation', 'Forensic Accounting']","['Auditors', 'Accountants', 'Controllers', 'Risk Managers', 'Chief Financial Officers (CFOs)', 'Auditors', 'Accountants', 'Controllers', 'Risk Managers', 'Chief Financial Officers (CFOs)']"
Course,Business Metrics for Data-Driven Companies,4.6,https://www.coursera.org/learn/analytics-business-metrics,"['Data Analysis', 'Business Analysis', 'Business Analytics', 'Business Process']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Global Diplomacy – Diplomacy in the Modern World,4.6,https://www.coursera.org/learn/global-diplomacy,"['Policy Analysis', 'Art', 'History', 'International Relations']","['Lawyers', 'Public Relations Specialists', 'Paralegals', 'Journalists', 'Social Workers']"
Course,Introduction to Philosophy,4.6,https://www.coursera.org/learn/philosophy,[],"['Writers', 'Psychiatrists', 'Lawyers', 'Translators', 'Dentists']"
