course_type,course_title,course_rating,course_link,course_skill,course_job
Course,AI For Everyone,4.8,https://www.coursera.org/learn/ai-for-everyone,"['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']","['Product Managers', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Technical Solutions Engineers']"
Course,SQL for Data Science,4.6,https://www.coursera.org/learn/sql-for-data-science,"['Data Science', 'Data Analysis', 'Sqlite', 'SQL']",[]
Course,Project Launch,4.7,https://www.coursera.org/learn/project-management,"['Project Management', 'Scope (Project Management)', 'Communication', 'Work Breakdown Structure']","['Project Managers', 'Product Managers', 'Consultants', 'Sales Associates', 'Researchers']"
Course,Digital Transformation,4.8,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,"['Technology Disruption', 'Digital Trends', 'Competitive Lifecycle', 'Digital Strategy', 'Strategic Management']",[]
Course,Technical Support Fundamentals,4.8,https://www.coursera.org/learn/technical-support-fundamentals,"['Binary Code', 'Customer Support', 'Linux', 'Troubleshooting']","['Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support', 'Technical Support Associates', 'Communication Technicians', 'Customer Care Reps', 'Retailers', 'IT Support']"
Course,Financial Markets,4.8,https://www.coursera.org/learn/financial-markets-global,"['Behavioral Finance', 'Financial Markets', 'Finance', 'Behavioral Economics']",[]
Course,What is Data Science?,4.7,https://www.coursera.org/learn/what-is-datascience,[],"['Process Analysts', 'Data Analysts', 'Business Analysts', 'Risk Managers', 'Data Scientists']"
Course,Digital Product Management: Modern Fundamentals,4.7,https://www.coursera.org/learn/uva-darden-digital-product-management,"['Product/Market Fit', 'Product Management', 'Design Thinking', 'Innovation Pipeline', 'Lean Startup']","['Product Managers', 'Business Analysts', 'UI/UX Designers', 'User Experience Researchers', 'Program Managers', 'Product Managers', 'Business Analysts', 'UI/UX Designers', 'User Experience Researchers', 'Program Managers']"
Course,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.9,https://www.coursera.org/learn/deep-neural-network,"['Hyperparameter', 'Tensorflow', 'Hyperparameter Optimization', 'Deep Learning']","['Data Scientists', 'Machine Learning Engineers', 'Biostatisticians', 'Scientists', 'Researchers']"
Course,Design Thinking for Innovation,4.6,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,"['Strategic Thinking', 'Design Thinking', 'Innovation Management', 'Design Management', 'Innovation']","['Instructional Designers', 'Process Analysts', 'Designers', 'Project Managers', 'User Experience Researchers', 'Instructional Designers', 'Process Analysts', 'Designers', 'Project Managers', 'User Experience Researchers']"
Course,Introduction to Psychology,4.9,https://www.coursera.org/learn/introduction-psychology,"['reasoning', 'Problem Solving', 'abstract thinking', 'analytical thinking', 'Critical Thinking']","['Psychiatrists', 'Translators', 'HR Specialists', 'Social Workers', 'Writers', 'Psychiatrists', 'Translators', 'HR Specialists', 'Social Workers', 'Writers']"
Course,Mathematics for Machine Learning: Linear Algebra,4.7,https://www.coursera.org/learn/linear-algebra-machine-learning,"['Eigenvalues And Eigenvectors', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Algebra']","['Machine Learning Engineers', 'Data Scientists', 'Biostatisticians', 'Data Analysts', 'Software Engineers', 'Machine Learning Engineers', 'Data Scientists', 'Biostatisticians', 'Data Analysts', 'Software Engineers']"
Course,Project Practicum with Multiple Projects,4.7,https://www.coursera.org/learn/project-practicum-with-multiple-projects,[],"['Project Managers', 'Business Analysts', 'Engineers', 'Software Engineers', 'Project Managers', 'Business Analysts', 'Engineers', 'Software Engineers']"
Course,Computational Thinking for Problem Solving,4.7,https://www.coursera.org/learn/computational-thinking-problem-solving,"['Simple Algorithm', 'Python Programming', 'Problem Solving', 'Computation']","['Technical Writers', 'Auditors', 'Marketing Analysts', 'Traders', 'Financial Analysts']"
Course,Financial Accounting Fundamentals,4.8,https://www.coursera.org/learn/uva-darden-financial-accounting,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']","['Accountants', 'Chief Financial Officers (CFOs)', 'Controllers', 'Auditors', 'Financial Analysts', 'Accountants', 'Chief Financial Officers (CFOs)', 'Controllers', 'Auditors', 'Financial Analysts']"
Course,Project Execution,4.2,https://www.coursera.org/learn/project-execution,[],"['Project Managers', 'Administrators', 'Consultants', 'Managers', 'Engineers']"
Course,Project Planning,4.7,https://www.coursera.org/learn/project-planning-1,[],"['Project Managers', 'Consultants', 'Administrators', 'Managers', 'Engineers']"
Course,AWS Fundamentals: Going Cloud-Native,4.7,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,"['Cloud Computing Security', 'AWS cloud', 'Cloud Storage', 'cloud networking', 'Cloud Computing']","['System Administrators', 'Security Engineers', 'IT Managers', 'Technical Leads', 'Technical Solutions Engineers']"
Course,Writing in the Sciences,4.9,https://www.coursera.org/learn/sciwrite,"['Grammar', 'Medical Writing', 'Science Communication', 'Writing']","['Pharmacists', 'Biologists', 'Medical Doctors', 'Scientists', 'Nurses', 'Pharmacists', 'Biologists', 'Medical Doctors', 'Scientists', 'Nurses']"
Course,Excel Skills for Business: Essentials,4.9,https://www.coursera.org/learn/excel-essentials,"['Graphs', 'Microsoft Excel', 'Chart', 'Sorting']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
